Id,Probability
1,0.063883461
2,0.059611645
3,0.026842836
4,0.072402947
5,0.087097809
6,0.028359309
7,0.042356793
8,0.036080334
9,0.003889003
10,0.404687881
11,0.011310107
12,0.020528862
13,0.008921395
14,0.055088256
15,0.057191495
16,0.01701512
17,0.03127465
18,0.013663156
19,0.179494917
20,0.103553399
21,0.007650098
22,0.011533977
23,0.004795861
24,0.495519251
25,0.071983248
26,0.015728656
27,0.098246321
28,0.007775752
29,0.047610074
30,0.016341601
31,0.055413768
32,0.007640569
33,0.018953959
34,0.060545906
35,0.368414015
36,0.050713908
37,0.032380674
38,0.015614063
39,0.010395906
40,0.049529348
41,0.352104753
42,0.256253183
43,0.086650275
44,0.007393871
45,0.032836623
46,0.002956747
47,0.003376601
48,0.018062266
49,0.016702307
50,0.032661982
51,0.015579669
52,0.017475793
53,0.007442319
54,0.048204821
55,0.018414611
56,0.075478613
57,0.004149754
58,0.119938172
59,0.083658561
60,0.08785446
61,0.023897316
62,0.007228807
63,0.018458948
64,0.009704443
65,0.016000997
66,0.021657458
67,0.010522044
68,0.13881734
69,0.006649124
70,0.644406974
71,0.016176367
72,0.087606326
73,0.00683266
74,0.177399591
75,0.013484999
76,0.027075518
77,0.0878691
78,0.038129605
79,0.019554766
80,0.016939653
81,0.015076932
82,0.012082291
83,0.04180136
84,0.008042122
85,0.018013492
86,0.01671866
87,0.060889672
88,0.009836551
89,0.03039136
90,0.016760921
91,0.049058862
92,0.014682297
93,0.010334252
94,0.015328988
95,0.005036684
96,0.093420006
97,0.02754695
98,0.082721584
99,0.01170804
100,0.012978105
101,0.051552627
102,0.070903964
103,0.005293457
104,0.04796353
105,0.063120775
106,0.020425079
107,0.300920993
108,0.014707137
109,0.007162619
110,0.02075674
111,0.016647663
112,0.018985776
113,0.0252776
114,0.506900251
115,0.078228392
116,0.008574444
117,0.003561541
118,0.075379483
119,0.013473231
120,0.007369717
121,0.013322754
122,0.060461935
123,0.014890414
124,0.570483923
125,0.007957226
126,0.018047599
127,0.005015498
128,0.015684631
129,0.00554044
130,0.052939489
131,0.031693138
132,0.071840376
133,0.005239803
134,0.085834593
135,0.084350407
136,0.008471158
137,0.168645531
138,0.040342595
139,0.006042219
140,0.013610768
141,0.005373259
142,0.017327078
143,0.005879864
144,0.018117581
145,0.303595632
146,0.008963588
147,0.005742684
148,0.106737502
149,0.00726306
150,0.044104733
151,0.005166037
152,0.015368177
153,0.004175716
154,0.013638965
155,0.017025946
156,0.021612605
157,0.062145606
158,0.005551612
159,0.116030127
160,0.022032194
161,0.004761303
162,0.015064164
163,0.013854876
164,0.059400573
165,0.011256304
166,0.021795601
167,0.600895345
168,0.017406777
169,0.213557899
170,0.012539807
171,0.005137602
172,0.01367601
173,0.015314823
174,0.043733556
175,0.01725807
176,0.375581741
177,0.017909199
178,0.095128059
179,0.014992015
180,0.016767036
181,0.037842304
182,0.006906742
183,0.017224543
184,0.011697093
185,0.138936311
186,0.007088826
187,0.008656535
188,0.028726038
189,0.04861968
190,0.021893507
191,0.017087655
192,0.037958298
193,0.012881937
194,0.057583209
195,0.014531782
196,0.034970701
197,0.006851129
198,0.008948212
199,0.008763305
200,0.006843895
201,0.066081263
202,0.023648722
203,0.358318686
204,0.038378045
205,0.036788132
206,0.007114941
207,0.014912562
208,0.004595344
209,0.071801834
210,0.003812603
211,0.120954044
212,0.02645823
213,0.015371965
214,0.006772066
215,0.015609299
216,0.064657204
217,0.008414111
218,0.084760718
219,0.014707317
220,0.004406056
221,0.015851041
222,0.007277955
223,0.014085727
224,0.010801979
225,0.009948205
226,0.065868214
227,0.009281201
228,0.071989752
229,0.110965103
230,0.33480978
231,0.288978517
232,0.011922053
233,0.011064472
234,0.011669992
235,0.004317893
236,0.130650356
237,0.034013629
238,0.002847278
239,0.014220748
240,0.017996013
241,0.046330776
242,0.010967385
243,0.006958261
244,0.018484399
245,0.07859651
246,0.016683117
247,0.03425556
248,0.006005713
249,0.012497342
250,0.274453133
251,0.018673483
252,0.259375393
253,0.004704845
254,0.070524298
255,0.003447375
256,0.007766582
257,0.033339482
258,0.131894216
259,0.046374198
260,0.117922828
261,0.012184189
262,0.016180169
263,0.00750241
264,0.063215211
